Urban Center,Population,Area (2016),Population Density,Cost of Living Index (2016),Built-up areas per capita,Road Length per capita (2017),Pedestrian Streets per capita,Rapid Transit to Resident Ratio (RTR),Modal split (Passenger) - by trips - Car (2017),Modal split (Passenger) - by trips - Public Transport (2017),Traffic Index (2018),Average travel speed (2019),Percentage Access to Public Transport,Share of population with access to open public spaces (2020),Surface transport SOx Concentration,Surface transport NOx Concentration,Oxford Economics Global Cities Index (Rank),Oxford Economics Global Cities Index (Economics),Oxford Economics Global Cities Index (Human Capital),Oxford Economics Global Cities Index (Quality of Life),Oxford Economics Global Cities Index (Environment),Oxford Economics Global Cities Index (Governance)
Brisbane,2360241.0,498.0,4678.91190114129,,871.0102007239224,,4222.846467552353,10.5396981627296,,,182.51,32.01964079,0.0311887015170981,0.8054991489054321,,,27.0,41.0,41.0,146.0,135.0,18.0
Perth,2141834.0,766.0,3776.7418380004,,818.6577820085673,,1422.590565114534,,,,171.9,36.37846843,0.107829146932287,0.8561725232862885,,,23.0,57.0,22.0,135.0,34.0,18.0
Bogura,400983.0,472.0,26041.556694819,,,,,,,,,,0.0,,,,953.0,950.0,803.0,803.0,794.0,887.0
Brahmanbaria,268279.0,553.0,33282.6651987932,,,,,,,,,,0.0,,,,,,,,,
Comilla,296010.0,2491.0,15956.5340309958,,,,139.9650201565758,,,,,19.31575896,0.0,0.2562753426889238,,,939.0,862.0,789.0,846.0,829.0,887.0
Daganbhuiyan,33574.0,237.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
Jessore,243987.0,54.0,30180.0278080828,,,,,,,,,,0.0,0.6277649831289519,,,,,,,,
Khulna,1400689.0,184.0,25564.0547634933,,102.4154589371981,,10.56260369526382,,,,,19.48656757,0.0,0.6531541430307098,,,872.0,946.0,418.0,798.0,823.0,887.0
Mymensingh,576722.0,106.0,39142.3241531182,,,,,,,,,18.53952736,0.0,0.2959946104850731,,,868.0,706.0,753.0,801.0,854.0,887.0
Rajshahi,763580.0,201.0,20222.9983848778,,,,,,,,,20.9204984,0.0,0.8364775227543946,,,875.0,935.0,481.0,770.0,914.0,887.0
Rangpur,294265.0,267.0,28192.6683718608,,,,,,,,,19.53009194,0.0,,,,,,,,,
Sylhet,479837.0,196.0,37882.9977388875,,45.53903345724907,,,,,,,19.34858346,0.0,0.7134358070357112,,,834.0,803.0,665.0,788.0,704.0,887.0
Tangail,392300.0,359.0,,,,,,,,,,,,,,,,,,,,
Bandar Seri Begawan,50000.0,20.0,,,,,,,,,,,,0.216538811916102,,,,,,,,
Anshan,3645884.0,183.0,46942.4876647953,,261.2994350282486,,,,,,,,0.0,,,,931.0,982.0,932.0,491.0,955.0,637.0
Anyang,573296.0,223.0,44263.4195959318,,285.7142857142857,,583.759473833716,,,,,,0.0,,,,785.0,646.0,840.0,621.0,994.0,637.0
Baoding,11860000.0,238.0,19323.13348921,,282.1067821067821,,,,,,,,0.0,,,,890.0,915.0,951.0,482.0,941.0,637.0
Baotou,2709378.0,243.0,63698.3858714236,,257.0888468809074,,,,,,,,0.0,,,,726.0,794.0,812.0,483.0,899.0,637.0
Bengbu,3296408.0,150.0,53100.8357264335,,383.0022075055188,,1342.9319689641,,,,,,0.0,0.2113256383652843,,,648.0,464.0,912.0,433.0,858.0,637.0
Changshu,1677050.0,146.0,29556.5861764952,,269.5035460992908,,,,,,,,0.0,,,,,,,,,
Changzhou,3601079.0,605.0,19645.3226663892,,297.432239657632,,218.9008706692207,28.3431477516059,,,,,0.174599415258354,0.360066350515609,,,508.0,287.0,735.0,447.0,909.0,637.0
Dandong,2444697.0,110.0,63432.3808956527,,206.5906210392902,,1042.258683229318,,,,,,0.0,,,,,,,,,
Fancheng,76088.0,202.0,35528.9524809644,,,,,,,,,,0.0,,,,,,,,,
Fushun,2024000.0,34.0,46672.5528912967,,,,,,,,,,0.0,,,,986.0,999.0,985.0,511.0,954.0,637.0
Guilin,5085500.0,232.0,23623.6695715016,,176.2452107279694,,2773.768670842858,,,,,,0.0,,,,715.0,622.0,950.0,393.0,830.0,637.0
Guiyang,3299724.0,312.0,68334.4499890673,,170.531740454439,,,31.1967068509262,,,,,0.204219691358598,,,,514.0,268.0,719.0,649.0,751.0,637.0
Haikou,2873358.0,209.0,,,180.8261886204209,,332.8781767633914,,,,,,,0.2057037975444181,,,420.0,257.0,681.0,501.0,247.0,637.0
Handan,2708015.0,178.0,51903.7543219925,,347.0701867353509,,,,,,,,0.0,,,,752.0,576.0,819.0,637.0,978.0,637.0
Hengyang,7243400.0,25.0,24545.3635696648,,347.3053892215569,,,,,,,,0.0,,,,742.0,776.0,937.0,383.0,840.0,637.0
Hohhot,3446100.0,260.0,37766.6749420909,,215.6419529837251,,311.0800997475491,22.6844795122388,,,,,0.207806324805434,,,,585.0,591.0,644.0,504.0,765.0,637.0
Huai'an,2632788.0,144.0,,,,,,0.0,,,,,,,,,,,,,,
Huaibei,2114276.0,155.0,30066.3307045695,,308.4967320261438,,,,,,,,0.0,,,,817.0,662.0,922.0,562.0,992.0,637.0
Huangshi,2471700.0,201.0,25764.6462654667,,223.5393734123624,,,,,,,,0.0,,,,831.0,568.0,954.0,587.0,986.0,637.0
Huizhou,2509243.0,250.0,33668.6367687877,,168.5155837295299,,,,,,,,0.0625220278852246,,,,594.0,692.0,508.0,675.0,595.0,637.0
Jiaxing,1518654.0,211.0,37265.6253860279,,195.6756756756757,,,0.0,,,,,0.249170286210622,,,,491.0,277.0,632.0,480.0,902.0,637.0
Jieyang,6089400.0,2450.0,26039.7265853357,,268.0695333943276,,,,,,,,0.0,,,,,,,,,
Jilin,2396000.0,174.0,73545.7880301298,,214.1014617368874,,784.1596242498808,,,,,,0.0,,,,958.0,985.0,993.0,455.0,934.0,637.0
Jingzhou,72806.0,125.0,17504.3705624127,,236.4425162689805,,1159.725018130383,,,,,,0.0,,,,876.0,871.0,986.0,435.0,907.0,637.0
Jinzhou,3126463.0,41.0,41068.7760700302,,190.6040268456376,,,,,,,,0.0,,,,930.0,962.0,990.0,510.0,807.0,637.0
Lanzhou,3067141.0,247.0,58659.8829721377,,121.9348337252267,,1930.831837534432,12.1231355125357,,,,,0.229356891543781,,,,607.0,472.0,721.0,617.0,853.0,637.0
Linyi,11018365.0,18.0,8783.54865302807,,501.3082155939299,,346.3134704343182,,,,,,0.0,,,,836.0,830.0,983.0,373.0,928.0,637.0
